ord,bid,name,idx,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
194,199,cloth_194,194,1.6899999868869782,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
195,200,cloth_195,195,1.749999989271164,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
196,201,cloth_196,196,1.8100000214576721,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
197,202,cloth_197,197,1.870000023841858,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
198,203,cloth_198,198,1.27,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
199,204,cloth_199,199,1.3299999986588955,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
200,205,cloth_200,200,1.389999997317791,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
201,206,cloth_201,201,1.4500000071525574,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
202,207,cloth_202,202,1.509999994635582,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
203,208,cloth_203,203,1.570000011920929,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
204,209,cloth_204,204,1.6300000143051148,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
205,210,cloth_205,205,1.6899999868869782,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
206,211,cloth_206,206,1.749999989271164,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
207,212,cloth_207,207,1.8100000214576721,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
208,213,cloth_208,208,1.870000023841858,1.1699999868869781,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
209,214,cloth_209,209,1.27,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
210,215,cloth_210,210,1.3299999986588955,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
211,216,cloth_211,211,1.389999997317791,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
212,217,cloth_212,212,1.4500000071525574,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
213,218,cloth_213,213,1.509999994635582,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
214,219,cloth_214,214,1.570000011920929,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
215,220,cloth_215,215,1.6300000143051148,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
216,221,cloth_216,216,1.6899999868869782,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
217,222,cloth_217,217,1.749999989271164,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
218,223,cloth_218,218,1.8100000214576721,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
219,224,cloth_219,219,1.870000023841858,1.229999989271164,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
220,225,cloth_220,220,1.27,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
221,226,cloth_221,221,1.3299999986588955,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
222,227,cloth_222,222,1.389999997317791,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
223,228,cloth_223,223,1.4500000071525574,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
224,229,cloth_224,224,1.509999994635582,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
225,230,cloth_225,225,1.570000011920929,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
226,231,cloth_226,226,1.6300000143051148,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
227,232,cloth_227,227,1.6899999868869782,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
228,233,cloth_228,228,1.749999989271164,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
229,234,cloth_229,229,1.8100000214576721,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
230,235,cloth_230,230,1.870000023841858,1.2900000214576721,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
231,236,cloth_231,231,1.27,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
232,237,cloth_232,232,1.3299999986588955,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
233,238,cloth_233,233,1.389999997317791,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
234,239,cloth_234,234,1.4500000071525574,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
235,240,cloth_235,235,1.509999994635582,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
236,241,cloth_236,236,1.570000011920929,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
237,242,cloth_237,237,1.6300000143051148,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
238,243,cloth_238,238,1.6899999868869782,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
239,244,cloth_239,239,1.749999989271164,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
240,245,cloth_240,240,1.8100000214576721,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
241,246,cloth_241,241,1.870000023841858,1.350000023841858,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
