ord,bid,name,idx,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
40,45,cloth_40,40,1.6899999868869782,0.9300000071525574,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,46,cloth_41,41,1.749999989271164,0.9300000071525574,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,47,cloth_42,42,1.8100000214576721,0.9300000071525574,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43,48,cloth_43,43,1.870000023841858,0.9300000071525574,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44,49,cloth_44,44,1.27,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45,50,cloth_45,45,1.3299999986588955,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46,51,cloth_46,46,1.389999997317791,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47,52,cloth_47,47,1.4500000071525574,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48,53,cloth_48,48,1.509999994635582,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49,54,cloth_49,49,1.570000011920929,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50,55,cloth_50,50,1.6300000143051148,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51,56,cloth_51,51,1.6899999868869782,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
52,57,cloth_52,52,1.749999989271164,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
53,58,cloth_53,53,1.8100000214576721,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
54,59,cloth_54,54,1.870000023841858,0.989999994635582,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
55,60,cloth_55,55,1.27,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
56,61,cloth_56,56,1.3299999986588955,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
57,62,cloth_57,57,1.389999997317791,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
58,63,cloth_58,58,1.4500000071525574,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
59,64,cloth_59,59,1.509999994635582,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60,65,cloth_60,60,1.570000011920929,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
61,66,cloth_61,61,1.6300000143051148,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
62,67,cloth_62,62,1.6899999868869782,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
63,68,cloth_63,63,1.749999989271164,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
64,69,cloth_64,64,1.8100000214576721,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
65,70,cloth_65,65,1.870000023841858,1.050000011920929,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
66,71,cloth_66,66,1.27,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
67,72,cloth_67,67,1.3299999986588955,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
68,73,cloth_68,68,1.389999997317791,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
69,74,cloth_69,69,1.4500000071525574,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
70,75,cloth_70,70,1.509999994635582,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
71,76,cloth_71,71,1.570000011920929,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72,77,cloth_72,72,1.6300000143051148,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
73,78,cloth_73,73,1.6899999868869782,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
74,79,cloth_74,74,1.749999989271164,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
75,80,cloth_75,75,1.8100000214576721,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
76,81,cloth_76,76,1.870000023841858,1.1100000143051147,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
77,82,cloth_77,77,1.27,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
78,83,cloth_78,78,1.3299999986588955,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
79,84,cloth_79,79,1.389999997317791,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
80,85,cloth_80,80,1.4500000071525574,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
81,86,cloth_81,81,1.509999994635582,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
82,87,cloth_82,82,1.570000011920929,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
83,88,cloth_83,83,1.6300000143051148,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
84,89,cloth_84,84,1.6899999868869782,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85,90,cloth_85,85,1.749999989271164,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
86,91,cloth_86,86,1.8100000214576721,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
87,92,cloth_87,87,1.870000023841858,1.1699999868869781,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
88,93,cloth_88,88,1.27,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
89,94,cloth_89,89,1.3299999986588955,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
90,95,cloth_90,90,1.389999997317791,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
91,96,cloth_91,91,1.4500000071525574,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
92,97,cloth_92,92,1.509999994635582,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
93,98,cloth_93,93,1.570000011920929,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
94,99,cloth_94,94,1.6300000143051148,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
95,100,cloth_95,95,1.6899999868869782,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
96,101,cloth_96,96,1.749999989271164,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
97,102,cloth_97,97,1.8100000214576721,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
98,103,cloth_98,98,1.870000023841858,1.229999989271164,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
99,104,cloth_99,99,1.27,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
100,105,cloth_100,100,1.3299999986588955,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
101,106,cloth_101,101,1.389999997317791,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
102,107,cloth_102,102,1.4500000071525574,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
103,108,cloth_103,103,1.509999994635582,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
104,109,cloth_104,104,1.570000011920929,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
105,110,cloth_105,105,1.6300000143051148,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
106,111,cloth_106,106,1.6899999868869782,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
107,112,cloth_107,107,1.749999989271164,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
108,113,cloth_108,108,1.8100000214576721,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
109,114,cloth_109,109,1.870000023841858,1.2900000214576721,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
110,115,cloth_110,110,1.27,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
111,116,cloth_111,111,1.3299999986588955,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
112,117,cloth_112,112,1.389999997317791,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
113,118,cloth_113,113,1.4500000071525574,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
114,119,cloth_114,114,1.509999994635582,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
115,120,cloth_115,115,1.570000011920929,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
116,121,cloth_116,116,1.6300000143051148,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
117,122,cloth_117,117,1.6899999868869782,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,123,cloth_118,118,1.749999989271164,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
119,124,cloth_119,119,1.8100000214576721,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
120,125,cloth_120,120,1.870000023841858,1.350000023841858,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
121,126,cloth_121,121,1.27,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
122,127,cloth_122,122,1.3299999986588955,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
123,128,cloth_123,123,1.27,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
124,129,cloth_124,124,1.389999997317791,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
125,130,cloth_125,125,1.3299999986588955,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
126,131,cloth_126,126,1.4500000071525574,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
127,132,cloth_127,127,1.389999997317791,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
128,133,cloth_128,128,1.509999994635582,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
129,134,cloth_129,129,1.4500000071525574,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
130,135,cloth_130,130,1.570000011920929,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
131,136,cloth_131,131,1.509999994635582,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
132,137,cloth_132,132,1.6300000143051148,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
133,138,cloth_133,133,1.570000011920929,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
134,139,cloth_134,134,1.6899999868869782,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
135,140,cloth_135,135,1.6300000143051148,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
136,141,cloth_136,136,1.749999989271164,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
137,142,cloth_137,137,1.6899999868869782,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,143,cloth_138,138,1.8100000214576721,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
139,144,cloth_139,139,1.749999989271164,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
140,145,cloth_140,140,1.870000023841858,0.75,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
141,146,cloth_141,141,1.8100000214576721,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
142,147,cloth_142,142,1.870000023841858,0.8099999986588955,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
143,148,cloth_143,143,1.27,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
144,149,cloth_144,144,1.3299999986588955,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
145,150,cloth_145,145,1.389999997317791,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
146,151,cloth_146,146,1.4500000071525574,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
147,152,cloth_147,147,1.509999994635582,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
148,153,cloth_148,148,1.570000011920929,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
149,154,cloth_149,149,1.6300000143051148,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
150,155,cloth_150,150,1.6899999868869782,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
151,156,cloth_151,151,1.749999989271164,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
152,157,cloth_152,152,1.8100000214576721,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
153,158,cloth_153,153,1.870000023841858,0.869999997317791,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
154,159,cloth_154,154,1.27,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
155,160,cloth_155,155,1.3299999986588955,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
156,161,cloth_156,156,1.389999997317791,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
157,162,cloth_157,157,1.4500000071525574,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
158,163,cloth_158,158,1.509999994635582,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
159,164,cloth_159,159,1.570000011920929,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
160,165,cloth_160,160,1.6300000143051148,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
161,166,cloth_161,161,1.6899999868869782,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
162,167,cloth_162,162,1.749999989271164,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163,168,cloth_163,163,1.8100000214576721,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164,169,cloth_164,164,1.870000023841858,0.9300000071525574,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
165,170,cloth_165,165,1.27,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
166,171,cloth_166,166,1.3299999986588955,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
167,172,cloth_167,167,1.389999997317791,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
168,173,cloth_168,168,1.4500000071525574,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
169,174,cloth_169,169,1.509999994635582,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
170,175,cloth_170,170,1.570000011920929,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
171,176,cloth_171,171,1.6300000143051148,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
172,177,cloth_172,172,1.6899999868869782,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
173,178,cloth_173,173,1.749999989271164,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
174,179,cloth_174,174,1.8100000214576721,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
175,180,cloth_175,175,1.870000023841858,0.989999994635582,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
176,181,cloth_176,176,1.27,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
177,182,cloth_177,177,1.3299999986588955,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
178,183,cloth_178,178,1.389999997317791,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
179,184,cloth_179,179,1.4500000071525574,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
180,185,cloth_180,180,1.509999994635582,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
181,186,cloth_181,181,1.570000011920929,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
182,187,cloth_182,182,1.6300000143051148,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
183,188,cloth_183,183,1.6899999868869782,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
184,189,cloth_184,184,1.749999989271164,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
185,190,cloth_185,185,1.8100000214576721,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
186,191,cloth_186,186,1.870000023841858,1.050000011920929,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
187,192,cloth_187,187,1.27,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
188,193,cloth_188,188,1.3299999986588955,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
189,194,cloth_189,189,1.389999997317791,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
190,195,cloth_190,190,1.4500000071525574,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
191,196,cloth_191,191,1.509999994635582,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
192,197,cloth_192,192,1.570000011920929,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
193,198,cloth_193,193,1.6300000143051148,1.1100000143051147,0.7544869999401271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
